year,round,round_num,game,game_num,game_date,away_team,away_score,home_team,home_score,url
2010,Eastern Conference First Round,1,Game 1,1,"Sat, April 17",Milwaukee Bucks,92,Atlanta Hawks,102,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 2,2,"Tue, April 20",Milwaukee Bucks,86,Atlanta Hawks,96,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 3,3,"Sat, April 24",Atlanta Hawks,89,Milwaukee Bucks,107,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 4,4,"Mon, April 26",Atlanta Hawks,104,Milwaukee Bucks,111,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 5,5,"Wed, April 28",Milwaukee Bucks,91,Atlanta Hawks,87,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 6,6,"Fri, April 30",Atlanta Hawks,83,Milwaukee Bucks,69,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 7,7,"Sun, May 2",Milwaukee Bucks,74,Atlanta Hawks,95,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 1,1,"Sat, April 17",Miami Heat,76,Boston Celtics,85,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 2,2,"Tue, April 20",Miami Heat,77,Boston Celtics,106,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 3,3,"Fri, April 23",Boston Celtics,100,Miami Heat,98,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 4,4,"Sun, April 25",Boston Celtics,92,Miami Heat,101,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 5,5,"Tue, April 27",Miami Heat,86,Boston Celtics,96,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 1,1,"Sat, April 17",Chicago Bulls,83,Cleveland Cavaliers,96,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 2,2,"Mon, April 19",Chicago Bulls,102,Cleveland Cavaliers,112,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 3,3,"Thu, April 22",Cleveland Cavaliers,106,Chicago Bulls,108,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 4,4,"Sun, April 25",Cleveland Cavaliers,121,Chicago Bulls,98,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 5,5,"Tue, April 27",Chicago Bulls,94,Cleveland Cavaliers,96,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 1,1,"Sun, April 18",Charlotte Bobcats,89,Orlando Magic,98,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 2,2,"Wed, April 21",Charlotte Bobcats,77,Orlando Magic,92,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 3,3,"Sat, April 24",Orlando Magic,90,Charlotte Bobcats,86,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference First Round,1,Game 4,4,"Mon, April 26",Orlando Magic,99,Charlotte Bobcats,90,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 1,1,"Sun, April 18",Oklahoma City Thunder,79,Los Angeles Lakers,87,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 2,2,"Tue, April 20",Oklahoma City Thunder,92,Los Angeles Lakers,95,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 3,3,"Thu, April 22",Los Angeles Lakers,96,Oklahoma City Thunder,101,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 4,4,"Sat, April 24",Los Angeles Lakers,89,Oklahoma City Thunder,110,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 5,5,"Tue, April 27",Oklahoma City Thunder,87,Los Angeles Lakers,111,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 6,6,"Fri, April 30",Los Angeles Lakers,95,Oklahoma City Thunder,94,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 1,1,"Sun, April 18",Portland Trail Blazers,105,Phoenix Suns,100,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 2,2,"Tue, April 20",Portland Trail Blazers,90,Phoenix Suns,119,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 3,3,"Thu, April 22",Phoenix Suns,108,Portland Trail Blazers,89,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 4,4,"Sat, April 24",Phoenix Suns,87,Portland Trail Blazers,96,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 5,5,"Mon, April 26",Portland Trail Blazers,88,Phoenix Suns,107,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 6,6,"Thu, April 29",Phoenix Suns,99,Portland Trail Blazers,90,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 1,1,"Sun, April 18",San Antonio Spurs,94,Dallas Mavericks,100,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 2,2,"Wed, April 21",San Antonio Spurs,102,Dallas Mavericks,88,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 3,3,"Fri, April 23",Dallas Mavericks,90,San Antonio Spurs,94,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 4,4,"Sun, April 25",Dallas Mavericks,89,San Antonio Spurs,92,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 5,5,"Tue, April 27",San Antonio Spurs,81,Dallas Mavericks,103,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 6,6,"Thu, April 29",Dallas Mavericks,87,San Antonio Spurs,97,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 1,1,"Sat, April 17",Utah Jazz,113,Denver Nuggets,126,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 2,2,"Mon, April 19",Utah Jazz,114,Denver Nuggets,111,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 3,3,"Fri, April 23",Denver Nuggets,93,Utah Jazz,105,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 4,4,"Sun, April 25",Denver Nuggets,106,Utah Jazz,117,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 5,5,"Wed, April 28",Utah Jazz,102,Denver Nuggets,116,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Western Conference First Round,1,Game 6,6,"Fri, April 30",Denver Nuggets,104,Utah Jazz,112,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference Semifinals,2,Game 1,1,"Sat, May 1",Boston Celtics,93,Cleveland Cavaliers,101,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference Semifinals,2,Game 2,2,"Mon, May 3",Boston Celtics,104,Cleveland Cavaliers,86,https://www.basketball-reference.com/playoffs/NBA_2010.html
2010,Eastern Conference Semifinals,2,Game 3,3,"Fri, May 7",Cleveland Cavaliers,124,Boston Celtics,95,https://www.basketball-reference.com/playoffs/NBA_2010.html
